iso3,pa_land_area,pa_marine_area,land_area,marine_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABW,35.833833,0.026514,189.420844,25213.94735,18.91757646,0.000105156,0,0,0,0
AFG,673.16062,0,642899.1342,0,0.104707035,0,0,597.988499,0,88.83295921
AGO,87506.59243,24.341169,1255217.852,493753.373,6.971426695,0.004929823,19.751236,32400.49499,81.14333375,37.02634749
AIA,6.274344,32.219534,85.524417,92653.59144,7.336318937,0.034774188,0,0,0,0
ALA,41.035664,503.943526,0,0,0,0,0,0,0,0
ALB,5098.516663,304.392513,28746.5563,11199.39919,17.73609544,2.717936094,42.889141,45.148125,14.0900775,0.885514905
AND,126.120308,0,471.870724,0,26.72772469,0,0,26.105939,0,20.69923505
ARE,12733.89139,6166.123302,70921.45739,54711.04352,17.95492064,11.2703449,2157.773724,8709.828567,34.99400869,68.39879736
ARG,235365.9451,41249.95469,2785327.721,1083150.624,8.450206536,3.808330418,2419.277559,64067.96615,5.864921737,27.22057608
ARM,6860.446492,0,29685.40559,0,23.1105028,0,0,3445.371044,0,50.22079901
ASM,33.371984,35457.57732,210.578755,406816.029,15.84774494,8.715875183,0,0,0,0
ATA,0,4774.711754,0,0,0,0,0,0,0,0
ATF,7851.080041,1702574.614,7855.43,2277432,99.94462481,74.7585269,0,0,0,0
ATG,84.536207,196.917827,455.237976,108492.3833,18.56967377,0.181503826,0,0,0,0
AUS,1487710.336,3014429.414,7722102.022,7432133.367,19.26561359,40.5594096,378130.1755,303142.4146,12.54400497,20.37644071
AUT,23829.38774,0,83912.25912,0,28.3979814,0,0,584.605885,0,2.453297968
AZE,8798.362587,345.314137,86639.62334,79032.11878,10.15512562,0.436928862,29.971197,3351.484434,8.679400519,38.09213818
BDI,2065.705682,0,27210.87243,0,7.591471709,0,0,1422.09236,0,68.8429321
BEL,7634.045734,1270.104582,30683.07213,3465.140147,24.8803174,36.65377238,0,0,0,0
BEN,34369.0025,0,116095.3632,0,29.60411298,0,0,11330.99346,0,32.9686422
BES,91.577774,2755.525866,322.852496,25112.35272,28.36520551,10.97279055,0,0,0,0
BFA,41157.73236,0,276403.7182,0,14.89044092,0,0,4959.123073,0,12.04906779
BGD,6455.725173,4530.200776,140160.1678,84563.21214,4.605962787,5.357176793,738.144196,931.396849,16.2938517,14.42745507
BGR,44996.29738,2851.951552,110862.7479,35171.8505,40.58739138,8.108619568,8.252788,4708.788266,0.289373359,10.46483498
BHR,45.481965,94.820117,686.857403,7632.763476,6.621747804,1.24227768,0,0,0,0
BHS,4930.158571,47355.48699,13458.00624,597705.1345,36.63364754,7.922884422,3460.290417,4215.672449,7.307052755,85.50784703
BIH,714.847791,0,51225.15128,0,1.395501571,0,0,692.468616,0,96.86937901
BLM,5.112058,4243.89095,25.109707,4317.87991,20.35889148,98.28645165,0,0,0,0
BLR,19383.06277,0,207228.0654,0,9.353493086,0,0,4035.285491,0,20.81861644
BLZ,8401.656832,3653.592271,22297.76618,36249.83866,37.67936557,10.07892009,2442.620226,7982.925278,66.85530417,95.01608358
BMU,1.507493,0.254821,72.478422,451643.6848,2.079919731,5.64208E-05,0,0,0,0
BOL,336405.5463,0,1089908.94,0,30.86547269,0,0,155396.1212,0,46.19309131
BRA,2509320.934,977792.6843,8529399.243,3672584.326,29.41966794,26.62410437,18353.70672,954460.8295,1.877055026,38.03661845
BRB,5.640151,10.321249,444.068519,185019.8485,1.270108274,0.005578455,0,0,0,0
BRN,2794.368916,51.679209,5961.686662,25698.41824,46.87211983,0.201098793,0,0,0,0
BTN,19171.20958,0,39933.48814,0,48.00785122,0,0,15508.71277,0,80.89584909
BVT,43.986608,13.870359,50.639751,440224.3515,86.86181731,0.003150748,0,0,0,0
BWA,169369.7355,0,581162.9215,0,29.14324526,0,0,111968.2861,0,66.10879195
CAF,112827.1168,0,624568.0306,0,18.06482422,0,0,38632.06062,0,34.24004946
CAN,1060937.776,165665.3985,9955032.941,5698082.708,10.65730051,2.907388449,7843.33898,339369.7778,4.734446089,31.98771742
CCK,0,26.294478,0,470116.606,0,0.005593182,0,0,0,0
CHE,4131.851172,0,41355.27022,0,9.991111531,0,0,2610.795858,0,63.18707401
CHL,155154.8153,1506502.331,759820.962,3657313.03,20.41991772,41.19150641,1282.760609,43637.92495,0.085148266,28.12540808
CHN,1461511.266,47491.66492,9361608.881,878364.0892,15.61175311,5.406831347,832.712621,200412.8047,1.753386878,13.71271022
CIV,74170.95794,130.372645,324107.7064,174842.1752,22.88466348,0.074565902,3.723091,17647.95855,2.855730203,23.7936236
CMR,51220.8022,1685.49771,469428.0915,14704.2551,10.91132021,11.4626528,1184.14415,35645.82916,70.25486555,69.59248515
COD,324289.6838,31.363659,2344275.114,13265.40707,13.83326052,0.236431938,31.363659,158805.5811,100,48.97028462
COG,140031.5994,1280.313272,343736.7395,39863.59306,40.73803678,3.211735756,1197.464959,33631.09748,93.52905927,24.01679166
COK,67.100582,1981949.229,258.141911,1972842.358,25.99367989,100,0,0,0,0
COL,169544.5158,124670.6807,1145032.899,730741.8263,14.80695585,17.06083821,32065.61446,132998.5605,25.72025297,78.44462552
COM,172.688456,37.464378,1701.123719,165505.135,10.15143426,0.022636384,0,0,0,0
CPV,120.123431,5.423162,4148.996795,801065.1343,2.89524039,0.000676994,0,102.417916,0,85.26056503
CRI,14608.17403,15061.6931,51636.14199,576110.183,28.2905993,2.614377171,4443.430402,10510.76419,29.50153328,71.95125258
CUB,18480.57139,15818.76605,111643.2783,365755.7493,16.55323246,4.324953491,0,0,0,0
CUW,71.009581,11.656382,450.975385,30535.00449,15.74577757,0.038173834,0,0,0,0
CXR,87.649012,0.753516,142.416955,330035.5,61.54394468,0.000228314,0,0,0,0
