ISO3,pa_marine_area,pa_land_area,marine_area,land_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url
PHL,21269.1568,45929.08936,1835028.192,298774.9046,15.37247,1.159064,1523.50019,5807.692147,7.16295528,12.64491029,12.8,na,PBSAP 2015-2028,https://www.cbd.int/doc/world/ph/ph-nbsap-v3-en.pdf
PLW,608173.277,221.370544,608152.4889,501.101386,44.1768,100.0034,78.312924,14.523867,0.012876745,6.560885083,na,na,0,https://www.cbd.int/doc/world/pw/pw-nr-05-en.pdf
PNG,3343.51192,17247.55939,2407381.818,467405.9203,3.69006,0.138886,3029.710822,13093.64518,90.61462601,75.91593039,na,na,0,0
POL,7210.906655,123950.3184,31945.64308,311923.5191,39.73741,22.57243,7155.25597,48405.35756,99.22824289,39.05222527,19.6,24,6,https://chm.cbd.int/database/record/4ACD5165-ABFA-57D0-CAB0-4FC82FB386DD
PRI,3077.928815,657.215588,176163.0606,9041.14294,7.269165,1.747204,0,0,0,0,na,na,0,0
PRK,25.611911,2975.649808,115967.2688,122186.1412,2.435342,0.022085,0,0,0,0,7.2,na,5,https://www.cbd.int/doc/world/kp/kp-nr-05-en.pdf
PRT,285599.5569,21115.27815,1724156.15,92141.09473,22.91624,16.5646,1009.099824,10817.02969,0.353326817,51.22844991,22,na,5,https://www.cbd.int/doc/world/pt/pt-nr-05-pt.pdf
PRY,0,57473.37524,0,401498.4235,14.31472,0,0,9793.229867,0,17.03959412,15,0,6,https://chm.cbd.int/database/record/4406F62E-6E7A-1826-E2B9-082208FCC685
PSE,0,516.767863,0,6181.987004,8.359252,0,0,0,0,0,9,0,5,https://www.cbd.int/doc/world/ps/ps-nr-05-en.pdf
PYF,206.943116,73.831954,4795468.095,3780.061341,1.953195,0.004315,6.700815,8.888061,3.237998504,12.03823076,na,na,0,0
QAT,538.143058,1512.836196,31987.65323,11435.55274,13.22924,1.682346,0,0,0,0,na,na,0,https://www.cbd.int/doc/world/qa/qa-nr-05-ar.pdf
REU,40.854603,1600.91019,316498.9308,2536.304619,63.11979,0.012908,0.88487,1064.426636,2.165900376,66.48884133,na,na,0,0
