iso3,cat_ab,cat_c,cat_ab_categorical,cat_c_categorical
BRN,B1,C,2,1
DNK,B1_and_B2, ,3,0
HKG,B1_and_B2, ,3,0
LKA,B1_and_B2, ,3,0
TZA,B1_and_B2, ,3,0
AUT,B1_and_B2,C,3,1
BEL,B1_and_B2,C,3,1
BGR,B1_and_B2,C,3,1
BLZ,B1_and_B2,C,3,1
BRA,B1_and_B2,C,3,1
CRI,B1_and_B2,C,3,1
DEU,B1_and_B2,C,3,1
ESP,B1_and_B2,C,3,1
FRA,B1_and_B2,C,3,1
GRC,B1_and_B2,C,3,1
HRV,B1_and_B2,C,3,1
POL,B1_and_B2,C,3,1
SVK,B1_and_B2,C,3,1
SVN,B1_and_B2,C,3,1
VEN,B1_and_B2,C,3,1
BEN,B2, ,4,0
BTN,B2, ,4,0
COG,B2, ,4,0
GIN,B2, ,4,0
HND,B2, ,4,0
MAR,B2, ,4,0
NAM,B2, ,4,0
REU,B2, ,4,0
TWN,B2, ,4,0
VCT,B2, ,4,0
GNQ,B2,C,4,1
GTM,B2,C,4,1
GUF,B2,C,4,1
NIC,B2,C,4,1
PER,B2,C,4,1
ZWE,B2,C,4,1
ATF,B3, ,5,0
ATG,B3, ,5,0
BVT,B3, ,5,0
CXR,B3, ,5,0
GIB,B3, ,5,0
GRL,B3, ,5,0
HMD,B3, ,5,0
IOT,B3, ,5,0
KIR,B3, ,5,0
LIE,B3, ,5,0
NCL,B3, ,5,0
PCN,B3, ,5,0
SGS,B3, ,5,0
SHN,B3, ,5,0
STP,B3, ,5,0
TJK,B3, ,5,0
ARM,B3,C,5,1
BWA,B3,C,5,1
NFK,B3,C,5,1
