ISO3,marine_area,PA_MARINE,percentage_pa_marine_cover,PAME_pa_marine_area,PAME_percentage_pa_land_cover,land_area,PA_LAND_AREA,percentage_pa_land_cover,categorical_pa_land_cover,PAME_pa_land_area,PAME_percentage_pa_land_cover
CCK,470117,26.294477,0.005593177230349,,,17.948331,,0,0,,
SXM,498,43.281231,8.69101024096386,,,36.455424,0.000136,0.000373058341058,1,,
FSM,3011917,475.050992,0.01577237991618,,,817.158681,0.401738,0.049162789228204,1,,
AFG,0,0,,0,,642899.1342,673.16062,0.104707034772672,1,597.988499,88.832959212617
WLF,259805,0,0,,,180.605517,0.301679,0.167037532967501,1,,
LBY,357895,2277.750891,0.636429928051524,,,1622615.431,3437.476191,0.211847867666433,1,,
TUR,255926,270.182713,0.105570638778397,128.252747,47.4688945032542,782238.8742,1709.103181,0.218488653194065,1,798.750156,46.7350458930542
LSO,0,0,,0,,30494.99377,79.710462,0.261388681044482,1,106.28689,133.341204320206
FLK,549092,52.093544,0.009487215985664,,,12400.947,61.100175,0.49270571836167,1,,
MRT,156198,6479.841488,4.14847916618651,6487.581027,100.119440251962,1046302.522,6507.878447,0.621988221395112,1,6412.38257,98.5326112376296
SYR,10204,25.201794,0.246979557036456,0,0,188612.6151,1292.567557,0.685302813024833,1,110.229277,8.52793158880128
YEM,548014,2562.368317,0.467573513997818,1234.214383,48.1669389529843,455938.919,3519.593039,0.771943980285658,1,2874.019964,81.6577352027204
MDV,922110,474.932887,0.051505014260772,,,304.666095,3.683705,1.209095813566,1,,
BRB,185020,10.321249,0.005578450437791,,,444.068519,5.64015,1.27010804834828,1,,
BIH,13,0,0,0,,51225.15128,714.84779,1.39550156932206,1,692.468616,96.869379144335
IRQ,596,0,0,0,,437830.5052,6713.746022,1.53341211776305,1,1377.958757,20.5244397462255
DJI,7031,11.802761,0.167867458398521,,,21843.65212,343.960178,1.57464592509725,1,,
JOR,94,33.455456,35.5909106382979,0,0,89689.84024,1588.029155,1.77057864162832,1,1106.479277,69.6762571087683
HTI,123867,0,0,0,,27390.24191,534.077665,1.94988297932853,1,214.416118,40.1469921046034
TUV,731900,62.087408,0.008483045224757,,,41.785977,0.815638,1.95194191582501,1,,
PYF,4795468,206.943116,0.004315389363457,6.700815,3.23799850389805,3780.061341,73.831954,1.95319460028837,1,8.888061,12.0382307638777
BMU,451644,0.254821,5.64207650273224E-05,,,72.478422,1.507493,2.07991973114426,1,,
SLB,1609757,1900.438332,0.118057466561723,519.261187,27.3232326593589,29191.64527,645.213045,2.21026611906346,1,308.937747,47.8815097422589
SDN,66786,10661.926754,15.964314008924,0,0,1871251.813,42697.53551,2.28176321398172,1,15953.710587,37.3644764187
FRO,266720,28.889108,0.01083124925015,,,1450.644909,33.786873,2.32909327364551,1,,
PRK,115967,25.611911,0.022085516569369,,,122186.1412,2975.649808,2.43534150336192,1,,
OMN,538980,663.944309,0.123185333222012,,,310373.1429,7985.072833,2.57273318122526,1,,
ALA,0,503.943842,,,,1580,41.035615,2.59719082278481,1,,
LBN,19316,40.839517,0.211428437564713,0,0,10329.04876,268.277274,2.59730862186384,1,160.942124,59.9909644228754
CPV,801065,5.423162,0.000676994001735,0,0,4148.996795,120.123431,2.89524039027367,1,102.417916,85.2605650266516
