iso3,pa_land_area,pa_marine_area,land_area,marine_area,percentage_pa_land_cover,percentage_pa_marine_cover,pame_pa_marine_area,pame_pa_land_area,pame_percentage_pa_marine_cover,pame_percentage_pa_land_cover
ABNJ,0,2608397.416,0,13945571.19,0,18.7041275,0,0,0,0
ABW,35.833833,0.026514,189.420844,25213.94735,18.91757646,0.000105156,0,0,0,0
AFG,673.16062,0,642899.1342,0,0.104707035,0,0,597.988499,0,88.83295921
AGO,87506.59246,24.341169,1255217.852,493753.373,6.971426697,0.004929823,19.75124,32400.49499,81.14335018,37.02634748
AIA,6.274344,32.219534,85.524417,92653.59144,7.336318937,0.034774188,0,0,0,0
ALA,26.105068,503.943526,0,0,0,0,0,0,0,0
ALB,5098.51665,304.392513,28746.5563,11199.39919,17.7360954,2.717936094,42.88914,45.148125,14.09007718,0.885514908
AND,126.120308,0,471.870724,0,26.72772469,0,0,26.105939,0,20.69923505
ARE,12733.89139,6166.123302,70921.45739,54711.04352,17.95492064,11.2703449,2157.774,8709.828567,34.99401316,68.39879735
ARG,235910.9544,41249.95469,2785327.721,1083150.624,8.469773688,3.808330418,2419.278,64069.04353,5.864922806,27.15814689
ARM,6860.44649,0,29685.40559,0,23.1105028,0,0,3445.371044,0,50.22079903
ASM,33.371984,35457.57732,210.578755,406816.029,15.84774494,8.715875183,0,0,0,0
ATA,0,4774.711754,0,0,0,0,0,0,0,0
ATF,7851.080041,1702574.614,7855.43,2277432,99.94462481,74.7585269,0,0,0,0
ATG,84.536207,196.917827,455.237976,108492.3833,18.56967377,0.181503826,0,0,0,0
AUS,1487710.95,3014429.414,7722102.022,7432133.367,19.26562154,40.5594096,378130.2,303142.4146,12.54400578,20.3764323
AUT,23936.60836,0,83912.25912,0,28.52575847,0,0,584.605885,0,2.442308769
AZE,8798.362587,345.314137,86639.62334,79032.11878,10.15512562,0.436928862,29.9712,3351.484434,8.679401388,38.09213818
BDI,2065.705683,0,27210.87243,0,7.591471713,0,0,1422.09236,0,68.84293206
BEL,7633.716165,1270.104582,30683.07213,3465.140147,24.87924329,36.65377238,0,0,0,0
BEN,34369.00255,0,116095.3632,0,29.60411302,0,0,11330.99346,0,32.96864214
BES,91.577774,2755.525866,322.852496,25112.35272,28.36520551,10.97279055,0,0,0,0
BFA,41157.73345,0,276403.7182,0,14.89044131,0,0,4959.123073,0,12.04906747
BGD,6455.725175,4530.200776,140160.1678,84563.21214,4.605962789,5.357176793,738.1442,931.396849,16.29385178,14.42745507
BGR,44996.29746,2851.951552,110862.7479,35171.8505,40.58739145,8.108619568,8.252788,4708.788267,0.289373359,10.46483496
BHR,45.481965,94.820117,686.857403,7632.763476,6.621747804,1.24227768,0,0,0,0
BHS,4930.158571,47355.48699,13458.00624,597705.1345,36.63364754,7.922884422,3460.291,4215.672449,7.307053986,85.50784703
BIH,714.847791,0,51225.15128,0,1.395501571,0,0,692.468616,0,96.86937901
BLM,5.112058,4243.89095,25.109707,4317.87991,20.35889148,98.28645165,0,0,0,0
BLR,19383.06377,0,207228.0654,0,9.353493568,0,0,4035.285495,0,20.81861538
BLZ,8401.612777,3653.592271,22297.76618,36249.83866,37.67916799,10.07892009,2442.62,7982.925278,66.85529799,95.01658181
BMU,1.507493,0.254821,72.478422,451643.6848,2.079919731,5.64208E-05,0,0,0,0
BOL,336406.5863,0,1089908.94,0,30.86556811,0,0,155396.1212,0,46.19294851
BRA,2509320.851,977792.6843,8529399.243,3672584.326,29.41966695,26.62410437,18353.71,954460.8295,1.877055361,38.03661972
BRB,5.640151,10.321249,444.068519,185019.8485,1.270108274,0.005578455,0,0,0,0
BRN,2794.368892,51.679209,5961.686662,25698.41824,46.87211943,0.201098793,0,0,0,0
BTN,19171.20945,0,39933.48814,0,48.00785092,0,0,15508.71277,0,80.89584961
BVT,43.986608,13.870359,50.639751,440224.3515,86.86181731,0.003150748,0,0,0,0
BWA,169369.804,0,581162.9215,0,29.14325703,0,0,111968.2861,0,66.10876523
CAF,112827.1169,0,624568.0306,0,18.06482422,0,0,38632.06062,0,34.24004946
CAN,1060926.045,165665.3985,9955032.941,5698082.708,10.65718267,2.907388449,7843.339,339369.7778,4.734446101,31.98807111
CCK,0,26.294478,0,470116.606,0,0.005593182,0,0,0,0
CHE,4131.851171,0,41355.27022,0,9.991111529,0,0,2610.795858,0,63.18707402
CHL,155154.8192,1506502.331,759820.962,3657313.03,20.41991824,41.19150641,1282.761,43637.92495,0.085148292,28.12540737
CHN,1461511.275,47491.66492,9361608.881,878364.0892,15.61175321,5.406831347,832.7126,200412.8047,1.753386834,13.71271013
CIV,74170.95795,130.372645,324107.7064,174842.1752,22.88466349,0.074565902,3.723091,17647.95855,2.855730203,23.79362359
CMR,51220.80277,1685.49771,469428.0915,14704.2551,10.91132033,11.4626528,1184.144,35645.82916,70.25485665,69.59248436
