Region,Government,Shared,Private,Indigenous peoples and local communities,Not Reported
Latin America & Caribbean,50.21938072,2.068446785,11.05678827,7.082863232,29.572521
Europe,91.83127821,0.458344739,0.439883631,0.00318295,7.267310471
Africa,50.72085508,2.672135222,11.84439473,2.622421079,32.14019389
Asia & Pacific,79.14889837,8.220800758,4.637526652,1.332622601,6.660151623
North America,65.52007707,9.008246987,21.17196494,0.007048707,4.292662296
Polar,30.52631579,0,0,0,69.47368421
West Asia,47.82608696,9.486166008,0,1.185770751,41.50197628
