id,ecoregion,biome,realm,source,ecoregion_area,perc_protected_2021,perc_protected_2021_OECM
61303,Atacama desert,Deserts & Xeric Shrublands,Neotropics,wwfterr," 	105,406 ",1.61,1.61
60102,Atlantic Coast restingas,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	7,886 ",22.35,22.35
81304,Atlantic coastal desert,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	40,079 ",14.67,14.67
50504,Atlantic coastal pine barrens,Temperate Conifer Forests,Nearctic,wwfterr," 	8,985 ",25.80,25.80
60202,Atlantic dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	115,359 ",7.84,7.84
30102,Atlantic Equatorial coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Afrotropics,wwfterr," 	190,089 ",25.25,25.25
80402,Atlantic mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	400,042 ",21.80,21.80
11001,Australian Alps montane grasslands,Montane Grasslands & Shrublands,Australasia,wwfterr," 	12,023 ",63.62,63.62
81305,Azerbaijan shrub desert and steppe,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	64,160 ",5.76,5.76
80403,Azores temperate mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	2,621 ",23.72,23.72
81306,Badghyz and Karabil semi-desert,Deserts & Xeric Shrublands,Palearctic,wwfterr," 	133,906 ",2.84,2.84
51105,Baffin coastal tundra,Tundra,Nearctic,wwfterr," 	9,124 ",5.38,5.38
60301,Bahamian pine mosaic,Tropical & Subtropical Coniferous Forests,Neotropics,wwfterr," 	6,901 ",20.93,20.93
61402,Bahamian-Antillean mangroves,Mangroves,Neotropics,wwfterr," 	17,946 ",47.99,47.99
60103,Bahia coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	109,917 ",10.48,10.48
60104,Bahia interior forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropics,wwfterr," 	230,479 ",4.72,4.72
60204,Baj├¡o dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropics,wwfterr," 	37,574 ",7.52,7.52
51301,Baja California desert,Deserts & Xeric Shrublands,Nearctic,wwfterr," 	77,886 ",61.20,61.20
80404,Balkan mixed forests,Temperate Broadleaf & Mixed Forests,Palearctic,wwfterr," 	224,876 ",19.29,19.29
