iso3,ProtConn_B,protconn_categorical
DOM,17.26890616,4
LCA,17.3765041,4
CRI,17.53836931,4
PLW,17.65533835,4
MAR,17.8200842,4
GUM,18.1177507,4
BWA,18.13314556,4
ISR,18.26901048,4
BEN,18.32863381,4
ESP,18.42623605,4
TWN,18.53019332,4
BEL,18.71522101,4
ABW,19.23970939,4
ZMB,19.39566973,4
DMA,19.46141974,4
TJK,19.49308538,4
VCT,19.54200181,4
ZWE,19.64742042,4
GRC,19.84758974,4
FRA,19.97697009,4
BRA,20.19391032,4
ATG,20.2347792,4
BES,20.8457083,4
TZA,21.20827687,4
NIC,21.22482701,4
NIU,22.03593868,4
ARM,22.48724612,4
KIR,22.58689056,4
AND,23.96476233,4
AUT,24.00441694,4
TCA,24.11151478,4
SHN,24.34439187,4
MLT,24.74827922,4
LKA,24.88607807,4
GIN,25.18373513,5
TTO,25.86317972,5
NAM,27.38987093,5
SVK,28.10582358,5
NZL,28.36954674,5
COG,29.62043497,5
BHS,30.5220728,5
STP,31.19983159,5
GIB,31.27490773,5
COM,32.49901207,5
BLZ,32.50522844,5
HRV,34.09569616,5
VEN,34.18586569,5
DEU,34.65352497,5
HKG,35.14972087,5
BRN,36.08015644,5
CYP,36.46136932,5
BGR,36.83210221,5
POL,37.69560187,5
TUV,39.24993484,5
GRL,41.20074602,5
LIE,42.69887338,5
SYC,43.66827818,5
LUX,47.29655117,5
SJM,47.97979354,5
GUF,48.00002192,5
BTN,50.484421,5
SVN,51.95693536,5
BVT,55.55807771,5
NCL,56.07601327,5
PCN,58.07984713,5
CXR,60.7683302,5
REU,63.19359775,5
GLP,69.00041929,5
IOT,78.33324912,5
UMI,96.79110564,5
ATF,99.60929766,5
MTQ,99.99120146,5
HMD,100,5
