SitRecID, site_area ,terr,fresh,marine, pa_area ,oecm_area,paoecm_area,pa_perc,paoecm_perc,pa_category,paoecm_category
380,74.858,Y,Y,N,68.668,0,68.668,91.73,91.73101071,partial,partial
381,15.938,Y,N,N,15.261,0,15.261,95.75,95.75229012,partial,partial
382,896.323,Y,Y,N,846.8996,0,846.8996,94.49,94.48598329,partial,partial
383,13.172,Y,N,N,0,0,0,0,0,none,none
384,531.294,Y,Y,N,144.3905,0,144.3905,27.18,27.17713733,partial,partial
386,156.789,Y,Y,N,0.7438,0,0.7438,0.47,0.474395525,none,none
387,2.333,Y,Y,N,2.3152,0,2.3152,99.23,99.23703386,complete,complete
388,95.77,Y,N,N,93.9546,0,93.9546,98.1,98.10441683,complete,complete
389,486.033,Y,N,N,475.005,0,475.005,97.73,97.73101826,partial,partial
390,506.528,Y,Y,N,483.3705,0,483.3705,95.43,95.42818956,partial,partial
391,206.232,Y,N,N,198.0581,0,198.0581,96.04,96.03655107,partial,partial
393,163.431,Y,N,N,161.647,0,161.647,98.91,98.90840783,complete,complete
394,11.68,Y,Y,N,11.6533,0,11.6533,99.78,99.77140411,complete,complete
395,43.042,Y,Y,N,42.982,0,42.982,99.86,99.86060127,complete,complete
396,16.627,Y,Y,N,13.3953,0,13.3953,80.57,80.56354123,partial,partial
397,59.879,Y,N,Y,59.6708,0,59.6708,99.65,99.6522988,complete,complete
398,31.955,Y,N,Y,31.9529,0,31.9529,99.99,99.99342826,complete,complete
399,30.92,Y,N,Y,30.873,0,30.873,99.85,99.84799483,complete,complete
400,14.48,Y,Y,N,14.4469,0,14.4469,99.77,99.77140884,complete,complete
401,33.558,Y,N,Y,33.5567,0,33.5567,99.99,99.99612611,complete,complete
402,72.087,Y,N,Y,71.9874,0,71.9874,99.86,99.86183362,complete,complete
403,1.442,Y,Y,N,1.4344,0,1.4344,99.5,99.47295423,complete,complete
404,94.309,Y,Y,N,94.3039,0,94.3039,100,99.99459224,complete,complete
405,159.918,Y,Y,N,159.8256,0,159.8256,99.94,99.94222039,complete,complete
406,278.713,Y,N,N,260.7182,0,260.7182,93.54,93.54360938,partial,partial
407,38.675,Y,N,Y,38.6746,0,38.6746,100,99.99896574,complete,complete
408,688.105,Y,N,Y,687.9313,0,687.9313,99.97,99.97475676,complete,complete
409,"1,666.52",Y,N,N,"1,643.39",0,1643.39,98.61,98.61207786,complete,complete
410,100.747,Y,N,Y,100.5258,0,100.5258,99.78,99.78044011,complete,complete
411,68.968,Y,Y,N,68.968,0,68.968,100,100,complete,complete
412,131.785,Y,Y,N,131.7351,0,131.7351,99.96,99.9621353,complete,complete
413,"1,468.17",Y,N,N,"1,467.90",0,1467.9,99.98,99.98160976,complete,complete
414,234.933,Y,N,N,234.8856,0,234.8856,99.98,99.97982403,complete,complete
415,22.51,Y,N,N,22.4777,0,22.4777,99.85,99.85650822,complete,complete
416,313.739,Y,N,N,313.6729,0,313.6729,99.98,99.97893153,complete,complete
417,4.754,Y,Y,N,4.7545,0,4.7545,100,100.0105175,complete,complete
418,3.993,Y,Y,N,3.9932,0,3.9932,100,100.0050088,complete,complete
419,2.183,Y,Y,N,2.1832,0,2.1832,100,100.0091617,complete,complete
420,434.933,Y,N,N,434.69,0,434.69,99.94,99.94412933,complete,complete
421,0.797,Y,N,N,0.7896,0,0.7896,99.13,99.07151819,complete,complete
422,31.79,Y,Y,N,31.7176,0,31.7176,99.77,99.77225543,complete,complete
423,111.932,Y,N,N,111.9117,0,111.9117,99.98,99.98186399,complete,complete
424,446.074,Y,N,N,446.0602,0,446.0602,100,99.99690634,complete,complete
425,35.494,Y,N,N,35.4905,0,35.4905,99.99,99.99013918,complete,complete
426,0.377,Y,Y,N,0.3691,0,0.3691,97.98,97.90450928,partial,partial
427,1.458,Y,Y,N,1.4475,0,1.4475,99.31,99.27983539,complete,complete
428,27.38,Y,Y,N,25.8511,0,25.8511,94.42,94.41599708,partial,partial
429,57.854,Y,N,N,57.8518,0,57.8518,100,99.99619732,complete,complete
430,"1,257.00",Y,N,N,"1,256.93",0,1256.93,99.99,99.99443119,complete,complete
431,9.757,Y,Y,N,9.7399,0,9.7399,99.82,99.82474121,complete,complete
432,12.841,Y,Y,N,12.6008,0,12.6008,98.13,98.12942917,complete,complete
433,28.717,Y,Y,N,28.6734,0,28.6734,99.85,99.84817356,complete,complete
434,"1,154.10",Y,N,Y,"1,150.97",0,1150.97,99.73,99.728793,complete,complete
435,1.911,Y,N,Y,1.8829,0,1.8829,98.55,98.52956567,complete,complete
436,888.717,Y,N,N,888.4684,0,888.4684,99.97,99.97202709,complete,complete
437,840.251,Y,Y,N,839.771,0,839.771,99.94,99.94287421,complete,complete
438,46.815,Y,N,Y,46.6692,0,46.6692,99.69,99.68856136,complete,complete
439,257.69,Y,N,N,257.5743,0,257.5743,99.96,99.95510109,complete,complete
440,354.268,Y,N,N,354.0818,0,354.0818,99.95,99.94744092,complete,complete
441,9.48,Y,N,Y,9.4803,0,9.4803,100,100.0031646,complete,complete
442,348.612,Y,N,N,348.5747,0,348.5747,99.99,99.98930043,complete,complete
443,992.571,Y,N,N,992.2473,0,992.2473,99.97,99.96738772,complete,complete
445,59.462,Y,N,Y,27.243,0,27.243,45.82,45.81581514,partial,partial
446,20.212,Y,N,Y,18.4921,0,18.4921,91.49,91.49069859,partial,partial
447,30.32,Y,N,Y,29.4791,0,29.4791,97.23,97.22658311,partial,partial
448,15.231,Y,N,N,13.478,0,13.478,88.49,88.49057843,partial,partial
449,514.741,Y,Y,N,107.1202,0,107.1202,20.81,20.8105047,partial,partial
450,69.357,Y,N,N,68.2325,0,68.2325,98.38,98.37867843,complete,complete
451,629.967,Y,N,N,601.1106,0,601.1106,95.42,95.41937911,partial,partial
452,994.499,Y,N,N,838.8108,0,838.8108,84.35,84.34506219,partial,partial
453,184.968,Y,Y,N,139.0311,0,139.0311,75.16,75.16494745,partial,partial
454,391.704,Y,Y,N,240.8815,0,240.8815,61.5,61.49579785,partial,partial
455,27.956,Y,Y,N,13.508,0,13.508,48.32,48.31878666,partial,partial
456,378.24,Y,N,N,377.9352,0,377.9352,99.92,99.91941624,complete,complete
458,91.851,Y,Y,N,59.736,0,59.736,65.04,65.03576444,partial,partial
459,647.997,Y,N,N,647.3647,0,647.3647,99.9,99.90242239,complete,complete
461,20.752,Y,Y,N,13.4356,0,13.4356,64.74,64.74363917,partial,partial
462,101.955,Y,Y,N,99.3847,0,99.3847,97.48,97.47898583,partial,partial
463,55.112,Y,Y,N,12.0695,0,12.0695,21.9,21.89994919,partial,partial
464,173.836,Y,Y,N,151.1707,0,151.1707,86.96,86.96167652,partial,partial
465,946.784,Y,N,N,941.1448,0,941.1448,99.4,99.40438368,complete,complete
466,249.364,Y,Y,N,246.5342,0,246.5342,98.87,98.86519305,complete,complete
468,231.187,Y,Y,N,206.488,0,206.488,89.32,89.3164408,partial,partial
469,55.885,Y,Y,N,17.1857,0,17.1857,30.75,30.75190123,partial,partial
470,51.71,Y,Y,N,18.8944,0,18.8944,36.54,36.5391607,partial,partial
471,269.923,Y,Y,N,77.4923,0,77.4923,28.71,28.70903924,partial,partial
473,46.618,Y,Y,N,3.3007,0,3.3007,7.08,7.080312326,partial,partial
477,156.873,Y,N,N,126.7146,0,126.7146,80.78,80.77527682,partial,partial
479,65.223,Y,N,N,23,0,23,35.26,35.26363399,partial,partial
480,712.678,Y,Y,N,47.5008,0,47.5008,6.67,6.665113838,partial,partial
481,452.721,Y,Y,N,447.4618,0,447.4618,98.84,98.83831322,complete,complete
484,47.362,Y,N,Y,0,0,0,0,0,none,none
486,144.533,Y,Y,N,34.1315,0,34.1315,23.62,23.61502217,partial,partial
487,906.249,Y,Y,N,452.9423,0,452.9423,49.98,49.97989515,partial,partial
488,30.934,Y,N,Y,5.5268,0,5.5268,17.87,17.86642529,partial,partial
491,275.83,Y,N,Y,5.6829,0,5.6829,2.06,2.060290759,partial,partial
492,16.721,Y,Y,N,6.4781,0,6.4781,38.74,38.7423001,partial,partial
493,55.246,Y,Y,N,0,0,0,0,0,none,none
494,29.533,Y,N,Y,0,0,0,0,0,none,none
495,92.806,Y,N,Y,16.635,0,16.635,17.92,17.92448764,partial,partial
496,62.844,Y,N,Y,0,0,0,0,0,none,none
497,4.408,Y,N,Y,2.4084,0,2.4084,54.64,54.63702359,partial,partial
498,0.712,Y,N,Y,0.7115,0,0.7115,99.96,99.92977528,complete,complete
500,26.393,Y,N,Y,0,0,0,0,0,none,none
501,30.474,Y,N,Y,5.6889,0,5.6889,18.67,18.66804489,partial,partial
502,6.031,Y,N,Y,0,0,0,0,0,none,none
503,23.889,Y,N,Y,16.14,0,16.14,67.56,67.56247645,partial,partial
505,176.898,Y,N,Y,28.8838,0,28.8838,16.33,16.3279404,partial,partial
507,601.922,Y,N,Y,1.0409,0,1.0409,0.17,0.172929383,none,none
509,"3,267.79",Y,N,Y,"2,830.34",0,2830.34,86.61,86.61327686,partial,partial
510,9.982,Y,N,Y,0,0,0,0,0,none,none
511,2.53,Y,N,Y,0.5998,0,0.5998,23.71,23.70750988,partial,partial
513,"2,002.38",Y,Y,N,0,0,0,0,0,none,none
514,197.837,Y,N,Y,14.4854,0,14.4854,7.32,7.321886199,partial,partial
517,161.625,Y,N,Y,0.0009,0,0.0009,0,0.000556845,none,none
518,9.858,Y,N,Y,0,0,0,0,0,none,none
519,2.6,Y,N,Y,0,0,0,0,0,none,none
520,49.057,Y,N,Y,0,0,0,0,0,none,none
521,14.685,Y,N,Y,5.5837,0,5.5837,38.02,38.02315288,partial,partial
522,31.784,Y,N,Y,0,0,0,0,0,none,none
523,10.694,Y,Y,N,5.1074,0,5.1074,47.76,47.7594913,partial,partial
524,705.835,Y,Y,N,620.4924,0,620.4924,87.91,87.90898723,partial,partial
525,221.23,Y,N,Y,0,0,0,0,0,none,none
526,70.546,Y,N,Y,0,0,0,0,0,none,none
527,522.058,Y,N,Y,0,0,0,0,0,none,none
528,2.044,Y,N,Y,1.8151,0,1.8151,88.81,88.80136986,partial,partial
529,10.129,Y,N,Y,0,0,0,0,0,none,none
530,145.87,Y,N,Y,0,0,0,0,0,none,none
531,19.558,Y,Y,N,0,0,0,0,0,none,none
533,"1,111.76",Y,N,Y,0,0,0,0,0,none,none
534,16.89,Y,N,Y,0,0,0,0,0,none,none
535,3.519,Y,N,Y,0,0,0,0,0,none,none
536,265.026,Y,N,Y,0.1691,0,0.1691,0.06,0.063805061,none,none
537,226.897,Y,N,Y,0,0,0,0,0,none,none
538,18.898,Y,N,Y,0,0,0,0,0,none,none
539,813.023,Y,N,Y,0,0,0,0,0,none,none
540,411.362,Y,Y,N,372.311,0,372.311,90.51,90.50690146,partial,partial
541,933.076,Y,N,Y,0.7459,0,0.7459,0.08,0.079939898,none,none
542,204.596,Y,N,Y,109.1623,0,109.1623,53.36,53.35505093,partial,partial
544,3.299,Y,N,Y,3.2989,0,3.2989,100,99.99696878,complete,complete
545,12.675,Y,N,Y,11.6255,0,11.6255,91.72,91.7199211,partial,partial
546,38.887,Y,N,Y,6.7801,0,6.7801,17.44,17.43538972,partial,partial
547,94.81,Y,N,Y,88.1175,0,88.1175,92.94,92.94114545,partial,partial
548,0.188,Y,N,Y,0.1876,0,0.1876,100,99.78723404,complete,complete
549,1.905,Y,N,Y,1.9047,0,1.9047,100,99.98425197,complete,complete
550,6.072,Y,N,Y,5.9263,0,5.9263,97.6,97.60046113,partial,partial
551,6.04,Y,N,Y,5.9984,0,5.9984,99.31,99.31125828,complete,complete
552,4.195,Y,N,Y,4.1924,0,4.1924,99.93,99.93802145,complete,complete
555,1.536,Y,N,Y,1.5358,0,1.5358,100,99.98697917,complete,complete
556,0.465,Y,N,Y,0.4624,0,0.4624,99.48,99.44086022,complete,complete
557,0.696,Y,N,Y,0.6963,0,0.6963,100,100.0431034,complete,complete
559,2.603,Y,N,Y,2.3385,0,2.3385,89.83,89.83864771,partial,partial
