Region,TOTAL_PA,PAME_AREA,PER_PAME_COVERAGE
Africa,5232231,1930400.07,36.89439686
Asia + Pacific,16937252,1957539.21,11.5575963
Europe,4324221,1239713.54,28.66906062
Latin America + Caribbean,7601477,2182572.44,28.71247838
North America,5772427,2018181.25,34.96243868
Polar,3791022,12593.75,0.332199338
West Asia,147396,35988.85,24.416436
ABNJ,2618153,0,0
