Year,Terrestrial KBAs,Freshwater KBAs,Marine KBAs
2000,34.3,31.5,2.2
2001,35.4,32.8,2.3
2002,36.4,33.9,3
2003,37.2,34.8,3
2004,39.3,37.2,3.1
2005,40.1,38.4,3.1
2006,41.3,39.2,4.3
2007,42.6,40.5,5.1
2008,43.3,41.1,5.3
2009,43.8,41.6,6.5
2010,44.4,41.8,7.2
2011,44.8,42.1,7.3
2012,45.5,42.7,10
2013,46.1,43.1,10.2
2014,46.3,43.3,11.2
2015,46.5,43.4,12
2016,46.6,43.4,13.7
2017,46.6,43.5,15.9
2018,46.6,43.5,15.9
