Region,Government,Shared,Private,Indigenous peoples and local communities,Not Reported
Latin America & Caribbean,47.80269058,2.114029468,10.99295324,8.930172966,30.16015375
Europe,91.93624319,0.481538772,0.465397808,0.003362701,7.113457529
Africa,50.18140873,2.677342675,12.34830477,2.652320781,32.14062305
Asia & Pacific,73.60358677,8.325549536,4.579986301,1.429105175,12.06177221
North America,63.95452251,9.208470543,21.8638079,0.002403673,4.970795375
Polar,29.78723404,0,0,0,70.21276596
West Asia,47.41035857,9.561752988,0,1.195219124,41.83266932
