Region,TOTAL_PA,PAME_AREA,PER_PAME_COVERAGE
Africa,6832944,1784310.997,26.11335608
Asia + Pacific,17068903,1973204.839,11.56023231
Europe,4498152,1254050.835,27.87924542
Latin America + Caribbean,8775766,2183655.3,24.88278858
North America,5987221,2039655.115,34.06680854
Polar,2297610,12593.74582,0.548123738
West Asia,148270,35992.48787,24.27496316
ABNJ,2608285,0,0
